PID,Name,Note,Logo,Photo,PCID,Email
1,Pomodoro,"Az. Agricola "La Fattoria del Sole"",la-fattoria-del-sole.png,pomodoro.png,1,sebastianochiari8@gmail.com
2,Carota,"Az. Agricola "La Fattoria del Sole"",la-fattoria-del-sole.png,carota.png,1,sebastianochiari8@gmail.com
3,Cetriolo,"Az. Agricola "La Fattoria del Sole"",la-fattoria-del-sole.png,cetriolo.png,1,sebastianochiari8@gmail.com
4,Rucola,"Az. Agricola "La Fattoria del Sole"",la-fattoria-del-sole.png,rucola.png,1,sebastianochiari8@gmail.com
5,Arancia,"Az. Agricola "Sapori di Sicilia"",sapori-di-sicilia.png,arancia.png,1,sebastianochiari8@gmail.com
6,Radicchio,"Az. Agricola "La Fattoria del Sole"",la-fattoria-del-sole.png,radicchio.png,1,sebastianochiari8@gmail.com
7,Mela,"Az. Agricola "Melinda"",melinda.png,mela.png,1,sebastianochiari8@gmail.com
8,Pera,"Az. Agricola "Sapori di Sicilia"",sapori-di-sicilia.png,pera.png,1,sebastianochiari8@gmail.com
9,Banana,"Az. Agricola "Sapori di Sicilia"",sapori-di-sicilia.png,banana.png,1,sebastianochiari8@gmail.com
10,Uva,"Az. Agricola "Sapori di Sicilia"",sapori-di-sicilia.png,uva.png,1,sebastianochiari8@gmail.com
11,"Bocconcini di vitello","Coop, alimentazione no OMG",coop.png,vitello.png,2,sebastianochiari8@gmail.com
12,"Braciola di lombo","Borgo Buono, la tradizione artigianale si fonde con le più avanzate tecnologie per garantire qualità, gusto e sapore",borgo-buono.png,braciola.png,2,sebastianochiari8@gmail.com
13,"Petto di pollo","Tracciabilità totale, filiera di qualità",coop.png,petto.png,2,sebastianochiari8@gmail.com
14,Macinato,"Borgo Buono, macinato bovino di razza chianina",borgo-buono.png,macinato.png,2,sebastianochiari8@gmail.com
15,"Cotoletta di pollo","Aia, Cotolette di filetti di pollo",aia.png,cotoletta.png,2,sebastianochiari8@gmail.com
16,Cotechino,"Negroni, solo carne italiana, macinatura media",negroni.png,cotechino.png,2,sebastianochiari8@gmail.com
17,Faraona,"Coop, faraona a metà in parti, 500g ca",coop.png,faraona.png,2,sebastianochiari8@gmail.com
18,"Busto di gran gallo","Coop, busto di gran gallo a metà in parti, 850g ca",coop.png,gallo.png,2,sebastianochiari8@gmail.com
19,"Hamburger di bovino","Coop, hamburger di bovino adulto, 220g ca",coop.png,hamburger.png,2,sebastianochiari8@gmail.com
20,"Wurstel Wudy al formaggio","Aia, pollo e tacchino, 150g, senza glutine",aia.png,wurstel.png,2,sebastianochiari8@gmail.com
21,Fusilli,"Coop, fusilli 64 500g",coop.png,fusilli-coop.png,3,sebastianochiari8@gmail.com
22,Farfalle,"Coop, farfalle 85 500g",coop.png,farfalle.png,3,sebastianochiari8@gmail.com
23,Fusilli,"Garofalo, fusilli no.63 pasta di Gragnano 500g",garofalo.png,fusilli-garofalo.png,3,sebastianochiari8@gmail.com
24,"Mezze penne rigate","Coop, mezze penne rigate 67 500g",coop.png,penne.png,3,sebastianochiari8@gmail.com
25,Linguine,"Garofalo, linguine no.12 pasta di Gragnano 500g",garofalo.png,linguine-garofalo.png,3,sebastianochiari8@gmail.com
26,Linguine,"Coop, linguine 13 500g",coop.png,linguine-coop.png,3,sebastianochiari8@gmail.com
27,Tagliatelle,"Coop, tagliatelle 298 pasta all'uovo 250g",coop.png,tagliatelle-coop.png,3,sebastianochiari8@gmail.com
28,Pappardelle,"Coop, pappardelle 402 pasta all'uovo 250g",coop.png,pappardelle.png,3,sebastianochiari8@gmail.com
29,Tortelloni,"Barilla emiliane, tortelloni con prosciutto crudo e parmigiano reggiano 250g",barilla.png,tortelloni.png,3,sebastianochiari8@gmail.com
30,Tagliatelle,"Barilla emiliane, tagliatelle all'uovo 500g",barilla.png,tagliatelle-barilla.png,3,sebastianochiari8@gmail.com
31,"Latte intero","Granarolo latte fresco alta qualità intero, 1L",granarolo.png,intero.png,4,sebastianochiari8@gmail.com
32,"Latte a lunga conservazione","Granarolo latte intero a lunga conservazione, 1L",granarolo.png,lunga-conservazione.png,4,sebastianochiari8@gmail.com
33,"Latte senza lattosio","Granarolo G+ parzialmente scremato senza lattosio, 1L",granarolo.png,no-lattosio.png,4,sebastianochiari8@gmail.com
34,Gocciole,"Pavesi Gocciole chocolate, 500g",pavesi.png,gocciole.png,4,sebastianochiari8@gmail.com
35,"Pan di stelle","Pan di Stelle, il biscotto, 350g",mulino-bianco.png,pan-di-stelle.png,4,sebastianochiari8@gmail.com
36,"Marmellata di albicocche","Rigoni di Asiago Fiordifrutta Albicocche 330g",NULL,albicocche.png,4,sebastianochiari8@gmail.com
37,"Marmellata di prugne","Rigoni di Asiago Fiordifrutta Prugne 330g",NULL,prugne.png,4,sebastianochiari8@gmail.com
38,"Fette biscottate","Coop, fette biscottate dorate, 36 fette, 320g",coop.png,fette-biscottate.png,4,sebastianochiari8@gmail.com
39,"Fette biscottate integrali","Coop, fette biscottate integrali, 36 fette, 320g",coop.png,fette-biscottate-integrali.png,4,sebastianochiari8@gmail.com
40,Macine,"Mulino Bianco, Macine 350g",mulino-bianco.png,macine.png,4,sebastianochiari8@gmail.com
